-c	6
NE	6
fs	6
U_	6
ED	6
.3	6
La	6
Tr	6
HA	6
CE	6
’T	6
-u	6
BE	6
wf	6
bd	6
-g	6
wt	6
TY	6
7_	5
H_	5
DE	5
AC	5
-a	5
9_	5
IM	5
NO	5
Fu	5
TR	5
RO	5
ME	5
EM	5
Ri	5
ST	5
g”	5
Ge	5
En	5
_2	5
FO	5
00	4
_5	4
NY	4
DA	4
Er	4
NS	4
.8	4
Va	4
bh	4
p’	4
-v	4
RI	4
RR	4
IE	4
N_	4
y’	4
-k	4
OT	4
AT	4
nm	4
-h	4
TA	4
Cu	4
e.	4
IL	4
‘N	4
Kn	4
Af	4
Ou	4
h-	4
sf	4
wk	4
Ch	4
_•	4
8_	4
*_	4
CH	4
tg	4
WA	4
aj	4
‘F	4
GE	4
HI	4
_*	4
VE	4
•_	4
NB	4
Us	4
p-	4
IC	4
l.	4
Ju	4
yw	4
Br	4
AS	4
GR	4
C_	4
dj	4
ah	4
Du	4
GU	4
Ay	4
UN	4
K_	4
sn	4
hm	4
xa	4
RG	4
O’	4
JE	4
g/	4
MA	4
_3	4
OJ	4
2_	3
Ab	3
_-	3
EE	3
(a	3
41	3
LA	3
5_	3
SC	3
NC	3
NN	3
20	3
TO	3
50	3
lr	3
_4	3
(o	3
MI	3
IB	3
SS	3
pm	3
AL	3
d)	3
(t	3
AB	3
IA	3
PL	3
ml	3
ET	3
BI	3
OS	3
-_	3
‘A	3
AM	3
BU	3
FU	3
.9	3
tm	3
01	3
.7	3
TS	3
LL	3
6_	3
SO	3
IR	3
Au	3
n-	3
’d	2
tb	2
t,	2
‘h	2
90	2
_9	2
o.	2
Wr	2
‘S	2
UL	2
.5	2
zo	2
,—	2
x’	2
80	2
IO	2
g-	2
lw	2
uy	2
Ba	2
BR	2
OO	2
gf	2
/d	2
AD	2
Sl	2
Bl	2
Tw	2
kw	2
EP	2
GL	2
s.	2
CO	2
.4	2
_z	2
Oa	2
_6	2
Aw	2
kr	2
ky	2
BO	2
-o	2
_8	2
(c	2
/c	2
OK	2
WI	2
‘l	2
uv	2
Cl	2
Ei	2
!’	2
-n	2
SH	2
Da	2
EF	2
uk	2
AK	2
IG	2
ez	2
.6	2
m’	2
kf	2
Jo	2
Ac	2
—i	2
Go	2
EB	2
ka	2
a-	2
’f	2
NI	2
Ut	2
Ph	2
‘n	2
-i	2
SP	2
c-	2
PU	2
Hu	2
PG	2
Ot	2
Ga	2
E'	2
PE	2
.C	2
’G	2
I”	2
u’	2
.2	2
PO	2
Fl	2
EX	2
oq	2
NG	2
'S	2
Ru	2
Pe	2
Et	2
d!	2
c)	2
KE	2
ID	2
RK	2
m-	2
RT	2
‘’	2
yp	2
‘H	2
LE	2
15	2
Oc	1
6-	1
LU	1
22	1
AV	1
/h	1
4-	1
e—	1
y)	1
UA	1
]_	1
n”	1
-6	1
04	1
FI	1
(i	1
,0	1
)(	1
XP	1
F)	1
US	1
1)	1
”)	1
™s	1
PT	1
—y	1
n.	1
24	1
SU	1
Ci	1
DO	1
21	1
.D	1
d”	1
_$	1
g)	1
(w	1
_﻿	1
59	1
(3	1
“R	1
($	1
87	1
5,	1
$1	1
-I	1
NA	1
0%	1
02	1
“t	1
“D	1
#1	1
u!	1
k/	1
AP	1
.B	1
QU	1
29	1
(b	1
EG	1
84	1
UE	1
SI	1
(d	1
HT	1
(“	1
BL	1
EI	1
64	1
—t	1
UC	1
RC	1
l)	1
99	1
S’	1
EV	1
_[	1
IF	1
b)	1
_#	1
11	1
s/	1
96	1
09	1
$5	1
UR	1
,”	1
B_	1
t)	1
3)	1
y—	1
e)	1
30	1
GI	1
S-	1
UD	1
88	1
s,	1
1(	1
a)	1
10	1
60	1
97	1
i_	1
54	1
.”	1
19	1
“I	1
0)	1
PA	1
G™	1
YT	1
GH	1
MN	1
AI	1
TN	1
﻿T	1
16	1
OV	1
WN	1
r)	1
OW	1
!)	1
1]	1
-1	1
td	1
oh	1
PH	1
MP	1
/l	1
EQ	1
(8	1
ae	1
.A	1
RS	1
62	1
AF	1
%_	1
[e	1
RP	1
KI	1
Vo	1
WO	1
18	1
TU	1
Em	1
HO	1
yn	1
